uni,n,k,date,p,V_full,V_flat,V_proj,rot_cv,ctl_relexc,lam_spread
large,252,3,2026-05-01,500,0.1104770835449028,0.1088953761507051,0.1219213560894852,0.01680779634735578,-0.16921095839552114,3.5863940102707335
large,252,3,2026-06-01,500,0.1103557625201229,0.10856071992160041,0.11191271156479396,0.013319678430823436,0.005450088062112224,2.882496277903925
large,252,3,2026-07-01,500,0.0942681501105344,0.09302136896378148,0.07579993981555726,0.010950597488008213,-0.1021839154995573,2.830389517028518
large,252,5,2019-02-01,475,0.07347502670549441,0.06700535282859175,0.06848105045102383,0.041367455387647065,-0.13339654516674404,17.81525014601824
large,252,5,2019-03-01,475,0.07961371827707218,0.08192054423346685,0.06772332062625139,0.049627805784064255,0.3690765997943968,15.6961634503056
large,252,5,2019-04-01,475,0.09100193380231739,0.08519342598052461,0.08604609635535757,0.08014808756959954,-0.16258852965545956,14.43259015007061
large,252,5,2019-05-01,475,0.08335171663012715,0.07935290932812535,0.05470546456986445,0.03563953899421692,0.4690207782661997,13.521137970747509
large,252,5,2019-06-03,475,0.1074515010655938,0.09921039271975024,0.09919119748112415,0.04338782204046954,-0.07538557437326354,14.768701667053122
large,252,5,2019-07-01,475,0.11106535640476313,0.10480748730337362,0.10536951919872568,0.04694696985000889,-0.2934006685592564,15.244813224664272
large,252,5,2019-08-01,475,0.1361862159462776,0.15046288529517757,0.14479169272130987,0.038886968928564095,0.48129927344057455,14.95305687627659
large,252,5,2019-09-03,476,0.07589310249951683,0.07317035223379986,0.09633961700920073,0.0590590825311352,0.0666636130372813,17.581082235064283
large,252,5,2019-10-01,476,0.08570458518732729,0.08744704224413788,0.08463965997122624,0.05571260233054649,0.34217287602029156,17.66594057049386
large,252,5,2019-11-01,476,0.07603798133118056,0.0677080367545859,0.07197933762133432,0.11331005425207992,-0.23626789961417705,17.284533852153785
large,252,5,2019-12-02,476,0.08077911891630393,0.07523158724516231,0.07256883235974369,0.0695243857036264,-0.3561303574791047,16.144431485253197
large,252,5,2020-01-02,477,0.08547768066424857,0.08507739153903453,0.08586639171359221,0.022567815775268774,0.19419057737666856,12.471367955826869
large,252,5,2020-02-03,477,0.27146670166245535,0.2662827704039412,0.2854795200995026,0.006231263650319654,0.0532518096363761,11.522524754920731
large,252,5,2020-03-02,477,0.7032448682910976,0.7433879747324543,0.6956854091928981,0.038908925248762355,0.40646051156394924,14.861693437636035
large,252,5,2020-04-01,480,0.27133296541956664,0.2521233221765132,0.2522216266307055,0.018842235491492634,0.709051249712124,28.90556475489636
large,252,5,2020-05-01,480,0.15254645551585502,0.1441159557615947,0.17981682148507092,0.029137704788538634,0.7966263040572339,29.116243556233982
large,252,5,2020-06-01,482,0.15599808918601002,0.16032899663870742,0.1740013639513834,0.06878115009842946,1.0308135873746544,29.417926105551192
large,252,5,2020-07-01,483,0.13599444459999527,0.13522568472142107,0.14415024801818035,0.049909138417285386,-0.007844359132486267,31.72416019334744
large,252,5,2020-08-03,483,0.11842065083780885,0.11048570759384602,0.12968741053355087,0.09070357231115068,-0.32752716856540276,31.53744813849103
large,252,5,2020-09-01,483,0.13974208609274358,0.1418281133585281,0.14048657451699093,0.030984832482704096,0.544348117314503,30.625115328277378
large,252,5,2020-10-01,484,0.1447530242672522,0.14645047940202316,0.14880031433977636,0.028409516361661617,0.3401911104318751,31.395518947513605
large,252,5,2020-11-02,484,0.16258519605126623,0.15097260425833509,0.144802006555972,0.07011083469646429,0.13807309223677433,31.993891300363856
large,252,5,2020-12-01,484,0.1118639112540023,0.10851724110002661,0.10880269930356543,0.039818664080654126,-0.04207307675406269,31.952748173186812
large,252,5,2021-01-04,484,0.13772965083257682,0.1273947083423104,0.14788232204228308,0.06583385615745835,0.16064107977705677,32.391857551143865
large,252,5,2021-02-01,484,0.18087293521530856,0.1677650492891368,0.16269183516164423,0.09881104982270457,-0.24137104296501166,32.30228675692552
large,252,5,2021-03-01,484,0.1586113993618806,0.15052203187670868,0.14777102909154216,0.07022644828784586,-0.12298609689778495,32.33680965446518
large,252,5,2021-04-01,486,0.08853608400709263,0.08555953562440548,0.08189023819528705,0.0446022728004886,-0.04871353486614938,18.36472990910374
large,252,5,2021-05-03,486,0.09329497511030946,0.09349639918457284,0.1177766587791636,0.022390398955234217,0.41325799558224685,14.861797772137749
large,252,5,2021-06-01,486,0.0853836398579007,0.08220907127683004,0.10954150173028965,0.036514082764848896,0.27117745621769074,14.75168780946591
large,252,5,2021-07-01,486,0.07369365245753953,0.07276361892121122,0.09727570972266032,0.06149165582052047,0.7411747746236903,11.334424729241375
large,252,5,2021-08-02,486,0.07746710823993672,0.07623655827061283,0.07824485261064092,0.04335170649804442,0.060839765079725217,11.363633601217124
large,252,5,2021-09-01,486,0.08094069242933148,0.08316115694441893,0.08039860537902493,0.039666024010629214,0.6087972431612154,11.735896529879218
large,252,5,2021-10-01,487,0.07426609297879291,0.0723631452608249,0.0717425942821773,0.018085694384848097,0.37158713195049864,11.538044990907652
large,252,5,2021-11-01,487,0.1183376450576475,0.11907222122258708,0.1456466161010815,0.021413913946668403,0.18135515588925077,10.820939255179454
large,252,5,2021-12-01,487,0.08727482339212744,0.08209008861896477,0.09023931404326549,0.021728859957380123,0.661491421956367,9.801083603081539
large,252,5,2022-01-03,489,0.13477064589066645,0.13020322183698174,0.1486413165008158,0.04023246811006908,0.05981623480574738,10.446616865798868
large,252,5,2022-02-01,489,0.14854317593538016,0.14566212682379778,0.1385451417736784,0.026025628722052926,0.33244502625630057,11.788015782062544
large,252,5,2022-03-01,490,0.1391259557058561,0.13329739834629814,0.13872526163982152,0.019042122889500152,0.3364744221389293,11.197113041894896
large,252,5,2022-04-01,490,0.1501255739354398,0.15653341286503136,0.13706069253028616,0.031706679532766874,0.31135178073022685,11.88611091996712
large,252,5,2022-05-02,492,0.17362388927322595,0.18278623248683873,0.157784838064279,0.05340595258468451,0.5130988968071666,13.28250994709395
large,252,5,2022-06-01,492,0.18418985371270732,0.19179076396686076,0.17202802835451814,0.04006218366315271,0.4726773060983154,15.918626943315243
large,252,5,2022-07-01,492,0.0904448749802014,0.08768410244253368,0.10931513945172767,0.07250227690707454,0.8062875725126897,17.538613603115174
large,252,5,2022-08-01,493,0.12683129341643795,0.1303977708204292,0.14897541136916384,0.045877273032291124,0.3640588374572906,18.462895134848647
large,252,5,2022-09-01,493,0.20590134103523655,0.20790791643963125,0.15434069526513158,0.022130238557363884,0.21696670902115,19.20574055096384
large,252,5,2022-10-03,493,0.15202065696121858,0.15317854967385386,0.16334817835796966,0.0422034100535056,0.7114626354222213,20.299522351239695
