uni,n,k,date,p,V1,stab1,V3,stab3,V6,stab6,V12,stab12
large,252,3,2026-03-02,499,0.1605264577170027,0.9999999999999987,0.2094101539492664,0.9181503449807307,0.20818032915748058,0.9160627828228054,0.17870808416282952,0.8592799640444025
large,252,3,2026-04-01,499,0.11704642785036647,0.9999999999999982,0.16322993685545992,0.8634509560519046,0.18353004796759317,0.8393050298087484,0.14593320924322725,0.8435815323268696
large,252,3,2026-05-01,499,0.11370080910432742,0.9999999999999999,0.11167936156721568,0.925509210143422,0.13968985311714152,0.7653776725301705,0.11451051491517682,0.7991251474675494
large,252,3,2026-06-01,499,0.1055314493169366,0.999999999999999,0.11758798713132416,0.9656755454797634,0.09668708568059396,0.7539868828612227,0.14044348336311607,0.7456571858701192
large,252,5,2020-01-02,475,0.08200596852280397,0.9999999999999999,0.08051967268613346,0.9586862887803771,0.07795645394744342,0.8582049480667467,0.07539481241829488,0.851066039784202
large,252,5,2020-02-03,475,0.2787861477771242,0.9999999999999994,0.2842895036773685,0.9725268884259108,0.27581098105552626,0.8591021433052958,0.2744152051203657,0.8293580234390768
large,252,5,2020-03-02,475,0.727359545862265,0.9999999999999984,0.8517301596275687,0.9559322732854189,0.8792949265557378,0.9079631315462598,0.8977762430516101,0.8140488512839344
large,252,5,2020-04-01,475,0.21772290222660318,0.9999999999999984,0.24399403623553745,0.6688598280383918,0.32477448063425535,0.8085708106211258,0.3530156918270823,0.7753494116268386
large,252,5,2020-05-01,475,0.14460932126541945,0.9999999999999988,0.14590228034914499,0.6576083418459309,0.22445335019816015,0.65718235072687,0.24123430907286977,0.7307226381027198
large,252,5,2020-06-01,475,0.17076884893057923,0.9999999999999991,0.16999004654127173,0.9266672804893263,0.22660764775520037,0.5360300027532956,0.24611104574410997,0.6940548491166557
large,252,5,2020-07-01,475,0.12865377212534224,0.9999999999999978,0.1317677634904504,0.967787424457395,0.12903409116799658,0.6615919130404645,0.14892165064804677,0.6497459356930777
large,252,5,2020-08-03,476,0.1165918782698834,0.9999999999999987,0.11521737147845748,0.9916131535610192,0.12879124509112136,0.8011996308388295,0.18574629566778972,0.578348650633005
