panel (3149, 6920) 2014-01-02 00:00:00 -> 2026-07-10 00:00:00
missobs_0.5pct_s2    missing_obs   1.231021 1.182054 -0.137353 0.572714  0.658307 -0.245133
  missobs_2pct_s0    missing_obs   1.014377 1.220873 -0.112268 0.572714  0.441664 -0.461777
  missobs_2pct_s1    missing_obs   0.388912 0.804865 -0.180909 0.572714 -0.183802 -1.087242
  missobs_2pct_s2    missing_obs   1.323110 1.258777 -0.178552 0.572714  0.750397 -0.153043
       start_+63d      alt_start   1.456202 1.386648 -0.133982 0.562467  0.893735 -0.009705
      start_+126d      alt_start   1.311129 1.390659 -0.133982 0.499154  0.811976 -0.091464
      start_+252d      alt_start   1.341672 1.527288 -0.133982 0.672707  0.668965 -0.234475
   univ_U1-menu12   alt_universe   1.444555 1.288827 -0.133934 0.572714  0.871841 -0.031599
   univ_U2-nogold   alt_universe   1.434304 1.260126 -0.175966 0.572714  0.861590 -0.041850
        lev_x0.75       leverage   0.993763 1.323121 -0.101859 0.572714  0.421049 -0.482391
         lev_x0.5       leverage   0.594678 1.323121 -0.068833 0.572714  0.021964 -0.881476
defensive_ensemble done in 1s, 45 rows
== dual_momentum_gold: baseline +258.51% (published +258.50%) bench +84.25% excess +174.27%
          variant         family  total_net   sharpe    max_dd    bench    excess  d_excess
         baseline       baseline   2.585141 1.065755 -0.356578 0.842453  1.742688  0.000000
        cost_x0.5          costs   2.601374 1.069075 -0.354819 0.842453  1.758921  0.016233
        cost_x2.0          costs   2.552881 1.059104 -0.360084 0.842453  1.710428 -0.032260
        cost_x4.0          costs   2.489175 1.045767 -0.367045 0.842453  1.646722 -0.095966
      cost_+10bps          costs   2.426541 1.032383 -0.373938 0.842453  1.584088 -0.158600
      param_lb-20         params   0.796736 0.553184 -0.416357 0.842453 -0.045717 -1.788405
      param_lb+20         params   1.110407 0.646415 -0.414699 0.842453  0.267953 -1.474734
    param_rlev-20         params   1.877827 1.069821 -0.289374 0.842453  1.035374 -0.707314
    param_rlev+20         params   3.396383 1.063043 -0.419849 0.842453  2.553929  0.811242
    param_dlev-20         params   2.569139 1.062500 -0.359450 0.842453  1.726685 -0.016003
    param_dlev+20         params   2.601214 1.069008 -0.353694 0.842453  1.758761  0.016073
         delay_1d   signal_delay   2.544586 1.057943 -0.315166 0.842453  1.702133 -0.040555
         delay_2d   signal_delay   2.474617 1.042216 -0.318629 0.842453  1.632164 -0.110524
         delay_5d   signal_delay   2.152990 0.964795 -0.320682 0.842453  1.310537 -0.432151
